student_id,attendance,previous_performance,internal_marks,assignment_score,engagement,study_hours,target
SYN1000,82.27,73.25,41.25,64.78,51.97,7.0,0
SYN1001,63.44,55.76,48.87,79.73,77.64,5.9,1
SYN1002,88.51,85.39,73.06,64.74,65.06,8.4,0
SYN1003,91.17,54.96,65.11,57.89,47.44,1.4,0
SYN1004,50.69,54.81,41.62,64.51,44.41,4.0,1
SYN1005,59.77,73.66,44.4,30.09,30.35,3.6,1
SYN1006,79.79,77.21,50.76,76.52,65.23,0.6,0
SYN1007,73.57,72.17,45.74,65.87,53.62,6.6,1
SYN1008,77.76,38.03,100.0,55.58,17.3,4.0,0
SYN1009,66.06,73.61,63.12,79.31,50.36,6.0,0
SYN1010,90.31,48.45,81.62,33.64,43.78,9.2,0
SYN1011,88.89,68.76,57.74,46.69,88.36,3.8,0
SYN1012,78.92,42.22,59.4,62.71,29.35,3.7,1
SYN1013,93.78,72.14,55.63,59.9,34.06,4.7,0
SYN1014,84.55,52.09,19.45,76.34,79.98,6.5,1
SYN1015,65.97,44.48,34.6,68.19,84.42,3.4,1
SYN1016,83.16,76.42,33.26,73.74,46.59,3.2,1
SYN1017,64.58,68.87,19.29,78.37,48.62,6.6,1
SYN1018,90.3,55.18,46.22,78.38,71.09,5.3,0
SYN1019,77.3,88.22,84.51,51.32,18.11,0.5,0
SYN1020,75.41,57.95,60.57,26.12,26.5,2.0,1
SYN1021,68.47,65.51,80.84,77.82,54.95,7.5,0
SYN1022,95.12,69.3,75.22,94.49,87.9,5.3,0
SYN1023,75.84,55.09,74.78,75.11,52.16,3.0,0
SYN1024,72.0,72.54,44.82,55.15,61.82,4.2,1
SYN1025,73.07,56.46,69.42,84.03,80.41,4.5,0
SYN1026,85.45,58.41,77.24,92.08,97.92,6.0,0
SYN1027,83.12,86.8,54.23,88.06,49.62,1.8,0
SYN1028,83.78,48.35,73.77,54.56,59.7,2.8,0
SYN1029,84.03,26.4,73.98,74.23,92.8,5.0,0
SYN1030,100.0,90.77,60.6,70.78,32.6,4.3,0
SYN1031,72.31,100.0,41.16,74.2,78.5,5.6,0
SYN1032,70.83,58.52,39.6,45.53,41.67,2.0,1
SYN1033,66.61,34.01,59.72,74.57,61.84,5.2,1
SYN1034,86.62,60.03,70.82,75.16,55.63,6.7,0
SYN1035,93.81,60.42,54.3,63.94,42.76,5.5,0
SYN1036,76.4,61.96,62.13,65.77,42.3,4.8,0
SYN1037,66.24,47.19,67.82,65.41,64.98,4.3,1
SYN1038,66.46,74.27,68.71,95.34,77.92,2.8,0
SYN1039,87.11,73.39,91.81,53.58,57.66,4.4,0
SYN1040,88.41,41.09,87.59,59.36,61.26,7.0,0
SYN1041,85.6,76.19,47.88,71.04,70.28,4.3,0
SYN1042,68.68,97.84,87.6,75.73,42.51,2.7,0
SYN1043,81.25,67.75,54.35,49.33,73.31,3.5,0
SYN1044,79.63,59.6,80.57,52.57,74.75,4.9,0
SYN1045,81.06,62.73,64.47,49.22,100.0,3.8,0
SYN1046,90.2,74.84,59.5,66.25,53.23,5.5,0
SYN1047,81.13,37.31,32.6,48.55,51.75,5.5,1
SYN1048,87.5,67.63,62.64,66.18,73.84,6.3,0
SYN1049,78.95,58.75,36.06,82.14,74.74,7.3,1
SYN1050,82.05,94.57,80.1,55.28,50.37,6.5,0
SYN1051,86.84,62.21,91.12,69.09,52.74,2.6,0
SYN1052,57.6,91.69,41.55,66.23,69.74,2.7,1
SYN1053,73.52,47.34,65.8,73.4,45.1,4.3,1
SYN1054,71.41,74.4,47.6,72.71,52.61,3.6,1
SYN1055,69.06,70.11,48.43,57.9,61.61,2.2,1
SYN1056,74.15,51.1,74.06,70.64,77.93,3.6,0
SYN1057,98.93,67.84,68.9,80.19,49.12,3.6,0
SYN1058,65.88,84.4,87.57,63.75,26.84,3.2,0
SYN1059,91.56,59.82,58.78,36.49,25.5,3.9,0
SYN1060,54.44,37.93,70.98,70.82,37.33,6.9,1
SYN1061,73.31,64.72,62.26,44.43,36.36,4.9,1
SYN1062,80.28,50.56,76.57,88.15,57.22,9.4,0
SYN1063,86.21,59.52,57.51,76.73,38.6,4.8,0
SYN1064,87.96,63.69,64.88,68.35,47.35,3.9,0
SYN1065,89.11,37.71,64.17,65.97,46.07,4.5,0
SYN1066,73.12,39.15,46.32,62.27,52.07,5.0,1
SYN1067,71.53,72.71,71.23,85.12,83.81,5.4,0
SYN1068,90.01,56.64,77.49,65.81,71.92,8.7,0
SYN1069,75.32,23.96,71.39,71.41,60.29,2.8,0
SYN1070,60.14,77.56,82.12,78.38,51.7,6.2,0
SYN1071,62.13,69.36,81.32,57.02,52.2,4.9,0
SYN1072,65.13,53.58,51.36,60.32,65.9,1.4,1
SYN1073,84.96,43.93,71.01,53.03,70.52,6.0,0
SYN1074,79.99,78.37,52.34,46.92,43.66,7.0,0
SYN1075,87.67,70.59,66.02,40.56,60.66,2.8,0
SYN1076,72.02,100.0,49.95,67.77,23.43,4.5,0
SYN1077,80.22,71.72,90.56,96.07,63.81,1.0,0
SYN1078,86.76,71.2,71.48,93.29,73.72,2.0,0
SYN1079,73.67,62.33,57.01,41.89,54.96,6.6,1
SYN1080,84.39,78.07,84.77,88.47,92.7,3.6,0
SYN1081,68.73,75.0,22.09,84.37,44.14,2.3,1
SYN1082,72.92,85.03,26.22,62.12,63.91,5.0,1
SYN1083,72.66,56.66,73.9,69.12,59.36,3.5,0
SYN1084,61.26,58.03,57.41,37.13,58.19,3.6,1
SYN1085,84.82,57.33,68.89,71.18,57.94,6.0,0
SYN1086,71.43,77.65,37.39,52.42,61.93,2.2,1
